中國大陸 *1,1
香港,1
澳門,1
中國大陸 *2,2
南韓,2
新加坡,2
日本,3
汶萊,4
印度尼西亞,4
高棉 (柬浦寨),4
寮國人民共和國,4
緬甸,4
馬來西亞,4
菲律賓,4
泰國,4
越南,4
澳大利亞,5
孟加拉,5
庫克群島,5
斐濟,5
密克羅尼西亞,5
印度,5
吉里巴斯,5
斯里蘭卡,5
馬紹爾群島,5
新加利多尼亞,5
諾魯,5
紐埃,5
紐西蘭,5
大溪地,5
巴布亞紐幾內亞,5
巴基斯坦,5
帛琉,5
索羅門群島,5
東帝汶,5
東加,5
吐瓦魯,5
萬那杜,5
薩摩亞,5
加拿大,6
美國,6
安道爾,7
奧地利,7
比利時,7
保加利亞,7
瑞士,7
捷克,7
德國,7
丹麥,7
愛沙尼亞,7
西班牙,7
芬蘭,7
法國,7
英國,7
格倫西群島,7
直布羅陀,7
格陵蘭,7
希臘,7
克羅埃西亞,7
匈牙利,7
愛爾蘭共和國,7
冰島,7
義大利,7
捷利群島,7
列支敦士登,7
立陶宛,7
盧森堡,7
拉脫維亞,7
摩納哥,7
馬爾他,7
荷蘭,7
挪威,7
波蘭,7
葡萄牙,7
羅馬尼亞,7
瑞典,7
斯洛法尼亞,7
斯洛法克,7
梵諦岡,7
阿拉伯聯合大公國,8
安地瓜,8
安圭拉島,8
阿爾巴尼亞,8
亞美尼亞,8
阿根廷,8
阿魯巴,8
亞塞拜爾,8
波士尼亞赫塞哥維納,8
巴貝多,8
巴林,8
百慕達,8
玻利維亞,8
巴西,8
巴哈馬群島,8
不丹,8
白俄羅斯,8
貝里斯,8
智利,8
哥倫比亞,8
哥斯大黎加,8
多米尼克,8
多明尼加共和國,8
厄瓜多,8
埃及,8
法克蘭群島,8
法魯群島,8
格瑞那達,8
喬治亞,8
法屬圭亞那,8
加德洛普,8
瓜地馬拉,8
蓋亞那,8
宏都拉斯,8
海地,8
以色列,8
牙買加,8
約旦,8
庫茲斯坦,8
聖克里斯多福,8
科索夫,8
科威特,8
開曼群島,8
哈薩克,8
聖露西亞,8
摩爾達維亞共和國,8
蒙特內格羅,8
馬其頓,8
馬丁尼克島,8
蒙特塞拉特,8
墨西哥,8
尼加拉瓜,8
尼泊爾,8
安曼,8
巴拿馬,8
秘魯,8
波多黎各,8
巴拉圭,8
卡達,8
塞爾維亞,8
俄羅斯,8
沙烏地阿拉伯,8
聖馬利諾,8
蘇利南,8
薩爾瓦多,8
特克斯和凱科斯群島,8
塔吉克斯坦,8
土耳其,8
千里達,8
烏克蘭,8
烏拉圭,8
烏茲別克斯坦,8
聖文森群島,8
委內瑞拉,8
英屬維爾京群島,8
波那尼,8
庫拉索,8
聖俄斯塔途斯島,8
聖馬丁島,8
尼維斯島,8
聖巴德利米群島,8
阿富汗,9
安哥拉,9
美屬薩摩亞島,9
布吉納法索,9
蒲隆地,9
貝寧,9
波札那,9
剛果共和國,9
中非共和國,9
剛果,9
象牙海岸,9
喀麥隆,9
古巴,9
維德角,9
塞浦路斯,9
吉布地,9
阿爾及利亞,9
厄利垂亞,9
衣索匹亞,9
加彭,9
迦納,9
甘比亞,9
幾內亞共和國,9
赤道幾內亞,9
關島,9
幾內亞比索,9
加那利群島,9
伊拉克,9
伊朗,9
肯亞,9
科摩羅,9
北韓,9
黎巴嫩,9
賴比瑞亞,9
賴索托,9
利比亞,9
摩洛哥,9
馬達加斯加,9
馬利,9
蒙古,9
北馬利安納群島邦,9
茅利塔尼亞,9
模里西斯,9
馬爾地夫,9
馬拉威,9
莫三比克,9
那米比亞,9
尼日,9
奈及利亞,9
留尼旺島,9
盧安達,9
塞席爾,9
蘇丹,9
聖赫勒納島,9
獅子山,9
塞內加爾,9
索馬利亞,9
南蘇丹,9
聖多美普林西比,9
敘利亞,9
史瓦濟蘭,9
查德,9
多哥,9
突尼西亞,9
坦尚尼亞,9
烏干達,9
美屬維爾京群島,9
索馬利蘭共和國,9
葉門,9
馬約特,9
南非,9
尚比亞,9
辛巴威,9
